unique_id,random,condition,county,age2014,attendees2014,sd2014,prop_fem_attend2014,prop_sd_fem2014,receiveletter,content_recruit,content_para,recruit_num,para_read,women_more,women_ideas,women_menbetter,women_toofar,gender,yearborn,religion,race,income,age,agecat,chair_survey,distance,distance_100,age2012,attendees2012,sd2012,prop_fem_attend2012,prop_sd_fem2012,pcfemale_2014,letter,Total_Running,Total_Female_Running,Total_Gave_Speach_Female,observed
92606,2111,Demand,Wayne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
27215,7605,Supply,Grand,63.3333320617676,1,1,0.666666686534882,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,2.23000001907349,65.875,8,1,0.5,0,0,1,NA,NA,NA,0
27236,8468,Supply,Grand,58.5,5,0,0.363636374473572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,2.27999997138977,65.2666702270508,33,1,0.59375,0,1,1,NA,NA,NA,0
27338,2629,Supply,Grand,55,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,2.24000000953674,62.1428565979004,12,0,0.545454561710358,NA,0,1,NA,NA,NA,0
27372,8135,Demand,Grand,57.4444427490234,2,0,0.444444447755814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,2.21000003814697,61.5909080505371,24,1,0.416666656732559,1,1,1,NA,NA,NA,0
27386,8941,Control,Grand,65.6666641235352,4,1,0.333333343267441,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,2.21000003814697,63.0909080505371,27,1,0.5,0,1,1,NA,NA,NA,0
27465,740,Supply+Demand,Grand,57,3,0,0.333333343267441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,1.73000001907349,82,1,0,1,NA,1,1,NA,NA,NA,0
27496,7086,Control,Grand,68,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,238,2.38000011444092,68,3,1,0.666666686534882,1,0,1,NA,NA,NA,0
27514,3698,Supply+Demand,Grand,63.5,3,0,0.583333313465118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,2.24000000953674,69.1666641235352,39,3,0.513513505458832,0.666666686534882,1,1,NA,NA,NA,0
16202,5995,Demand,Daggett,53.4347839355469,25,1,0.375,1,1,1,1,4,1,4,4,3,2,1,19,3,5,4,39,3,1,210,2.09999990463257,52.0555572509766,21,1,0.428571432828903,0,0,1,NA,NA,NA,0
16241,3873,Control,Daggett,56.5952377319336,43,2,0.600000023841858,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,1.70000004768372,58.328125,65,2,0.523076951503754,0.5,0,1,NA,NA,NA,0
16287,8801,Supply,Daggett,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
