ID,age,female,pre_score,noise,Y_Z_0,Y_Z_1,Z,Z_cond_prob,Y
001,39,1,41,10.58794881156386,56,58,0,0.6,56
002,19,0,52,-8.166925326400813,27,31,1,0.4,31
003,32,0,58,3.1876938625459665,48,52,1,0.4,52
004,63,0,42,4.418564564218297,57,60,0,0.6,57
005,53,1,39,10.617101373700898,62,64,1,0.4,64
006,43,1,50,-7.3614116599178905,44,48,0,0.6,44
007,31,1,39,15.588248030493613,56,58,0,0.6,56
008,60,0,46,10.363613680169628,63,66,1,0.4,66
009,30,1,45,-1.0602570593983431,41,44,1,0.4,44
010,19,1,42,-13.078038523600172,22,25,1,0.4,25
011,61,1,48,-0.657817978064408,59,62,0,0.6,59
012,34,0,58,-0.7463754130268573,45,50,0,0.6,45
013,18,0,61,6.025799162947266,46,50,1,0.4,50
014,23,0,69,5.258558741865457,51,57,0,0.6,51
015,21,0,63,-3.996931647536772,38,43,0,0.6,38
016,59,0,52,-4.394972383707502,51,55,0,0.6,51
017,28,1,14,16.92383807255094,43,43,1,0.4,43
018,59,0,63,6.797344926436125,68,73,0,0.6,68
019,41,0,62,10.608287382580057,62,67,1,0.4,67
020,46,0,32,-7.7015599857515715,31,33,0,0.6,31
021,44,0,21,2.7828208187351655,35,36,1,0.4,36
022,57,1,14,10.933578731718727,51,51,1,0.4,51
023,53,1,67,-18.948054274260112,46,51,0,0.6,46
024,46,1,78,2.5409818475904453,70,76,0,0.6,70
025,19,0,83,20.527709051753824,72,78,1,0.4,78
026,63,1,65,-19.959200184636995,49,54,1,0.4,54
027,46,1,39,-13.19006212884795,34,37,1,0.4,37
028,58,1,89,-15.870281907517308,63,70,1,0.4,70
029,24,1,28,23.196854410119265,54,55,0,0.6,54
030,34,0,23,-8.65036524702327,20,21,1,0.4,21
031,45,1,36,-10.66899865687304,35,37,1,0.4,37
032,43,0,72,1.831057294898544,59,65,0,0.6,59
033,45,0,46,-7.5913582674105005,38,41,0,0.6,38
034,40,0,50,10.173107936270927,55,59,0,0.6,55
035,18,1,35,4.4160251623038995,36,38,0,0.6,36
036,54,0,69,3.9205449892021,65,71,0,0.6,65
037,33,1,82,6.069318539845367,69,75,1,0.4,75
038,51,1,67,24.31656760532396,88,94,0,0.6,88
039,27,1,57,4.358852535293843,51,56,0,0.6,51
040,49,0,35,2.4865681088199114,44,46,1,0.4,46
041,57,0,74,4.705428997505169,70,76,0,0.6,70
042,46,0,54,-2.561509026258485,47,51,1,0.4,51
043,24,1,49,1.1885564541921392,43,46,1,0.4,46
044,48,1,43,-7.431936014828825,43,46,0,0.6,43
045,34,1,55,13.460486053100226,63,67,1,0.4,67
046,64,0,61,-8.291710023104587,54,59,0,0.6,54
047,29,0,65,14.454000999338344,61,66,0,0.6,61
048,29,1,41,-10.909138291438383,29,32,1,0.4,32
049,34,1,53,-4.374175757592845,44,48,1,0.4,48
050,43,0,30,-5.275243395928339,31,33,0,0.6,31
051,40,0,36,5.876291549911127,44,46,0,0.6,44
052,47,0,30,-6.174376931739305,32,34,1,0.4,34
053,42,1,50,-13.953499134167796,37,41,1,0.4,41
054,49,0,52,-1.3901067202762127,49,53,0,0.6,49
055,36,0,54,-6.017559969638581,39,43,0,0.6,39
056,24,0,67,9.47929508145187,55,60,1,0.4,60
057,39,1,24,-29.045942648564345,7,8,0,0.6,7
058,27,0,64,29.483465153387172,75,80,0,0.6,75
059,20,0,39,-15.87693356501597,14,16,1,0.4,16
060,60,0,51,18.683666104155606,74,78,0,0.6,74
061,22,0,34,16.043104408243696,44,46,0,0.6,44
062,40,1,38,-6.316247923809125,38,40,1,0.4,40
063,60,0,48,-16.066963065442103,38,41,0,0.6,38
064,60,0,51,-12.058120561100925,43,47,0,0.6,43
065,61,0,49,-9.017367696332565,46,49,0,0.6,46
066,64,0,47,-16.03040057957455,39,43,0,0.6,39
067,28,1,70,-3.7930069937895916,50,56,0,0.6,50
068,45,0,75,25.452935176242338,85,91,0,0.6,85
069,27,0,63,2.994351897795341,48,53,0,0.6,48
070,18,1,56,19.963890520543618,62,66,0,0.6,62
071,53,0,30,-6.182117473392373,35,37,1,0.4,37
072,60,0,28,4.145712585352831,48,49,1,0.4,49
073,44,0,55,2.2864038277561707,52,56,0,0.6,52
074,57,0,58,-1.9143912798189486,56,60,0,0.6,56
075,32,0,56,-16.272938079970785,28,32,0,0.6,28
076,24,0,40,15.118314575222001,47,50,0,0.6,47
077,45,0,46,14.461531584606536,60,63,0,0.6,60
078,26,0,44,13.188723661187648,48,51,0,0.6,48
079,57,1,52,-4.97943705074449,55,58,1,0.4,58
080,49,0,42,-10.922134633134387,35,37,0,0.6,35
081,60,1,56,-12.170581421310171,51,55,0,0.6,51
082,20,1,63,1.8809273554093515,48,53,0,0.6,48
083,35,0,56,-2.8827928156222793,43,47,0,0.6,43
084,63,0,42,-23.59194514992381,29,32,1,0.4,32
085,49,1,63,0.1311420774163884,61,66,1,0.4,66
086,41,1,73,-8.269126338095901,54,60,0,0.6,54
087,33,1,49,5.968657572212951,52,55,0,0.6,52
088,52,1,54,4.672332247577008,63,67,1,0.4,67
089,45,0,65,-19.737828037744286,35,40,1,0.4,40
090,25,1,16,-11.15458108543021,14,14,1,0.4,14
091,58,1,4,0.8028395904393258,37,36,0,0.6,37
092,45,1,66,-12.662015587199093,48,53,1,0.4,53
093,51,1,35,33.878481457148965,82,84,0,0.6,82
094,65,0,40,-0.04217973680061375,52,55,0,0.6,52
095,48,1,16,-3.4698357045083137,34,34,0,0.6,34
096,41,1,67,25.39605955838988,84,90,1,0.4,90
097,42,1,24,1.0597971576279162,39,40,1,0.4,40
098,43,1,71,1.2424685256257542,63,69,1,0.4,69
099,47,0,42,-1.22342876792376,43,46,1,0.4,46
100,52,0,35,-0.05745238603094085,43,45,0,0.6,43
101,35,0,62,-12.674923941242733,36,41,0,0.6,36
102,42,0,59,6.028120417008257,57,61,0,0.6,57
103,20,0,28,-3.464049499924686,21,22,0,0.6,21
104,54,0,52,4.200402963414237,57,61,0,0.6,57
105,26,0,87,-8.450168046439954,48,55,0,0.6,48
106,36,1,64,-3.7262216239197303,51,56,0,0.6,51
107,41,1,26,2.983339040368323,41,43,0,0.6,41
108,26,0,35,-1.9021266439087468,29,31,0,0.6,29
109,23,1,72,-2.538714890723324,50,56,1,0.4,56
110,23,0,53,-1.1720854824675022,37,41,0,0.6,37
111,35,0,63,13.018018207224086,62,67,0,0.6,62
112,32,0,57,19.421618160942188,64,68,1,0.4,68
113,46,0,62,-6.858541890344344,47,52,0,0.6,47
114,20,1,14,-4.22063112760903,18,18,1,0.4,18
115,25,1,48,-3.994560420595763,38,41,0,0.6,38
116,27,1,92,-11.25247046225127,53,61,0,0.6,53
117,22,0,30,3.7769281549300944,30,31,1,0.4,31
118,60,0,2,-0.9568963761266382,30,29,1,0.4,29
119,28,1,24,-3.949148983447479,27,28,0,0.6,27
120,28,1,78,1.0263890225929957,59,65,1,0.4,65
121,46,0,39,2.5802964607873493,45,47,0,0.6,45
122,46,0,78,12.398580562928474,74,81,0,0.6,74
123,54,1,81,7.108976737244107,80,86,1,0.4,86
124,64,1,35,0.2110117097994832,55,57,0,0.6,55
125,41,0,36,-1.8230510470849237,37,39,1,0.4,39
126,43,0,55,3.714432181036204,53,57,0,0.6,53
127,63,1,20,5.53787507763505,52,53,0,0.6,52
128,33,1,64,-13.290841721775642,40,45,0,0.6,40
129,29,1,38,-15.805273097994457,23,25,0,0.6,23
130,37,0,74,-2.905760648074109,53,58,0,0.6,53
131,41,1,85,1.7088724405572955,70,77,0,0.6,70
132,44,0,24,5.895869542041179,40,41,1,0.4,41
133,27,0,65,0.8367893614261562,47,52,1,0.4,52
134,42,1,49,-12.853307334614604,38,41,0,0.6,38
135,39,1,64,-3.5941311998314216,53,58,0,0.6,53
136,57,1,66,17.963130143668927,84,90,0,0.6,84
137,32,0,75,25.773193451390913,79,85,0,0.6,79
138,45,1,82,-4.898855725072455,64,70,0,0.6,64
139,24,0,69,9.533116373573664,56,61,1,0.4,61
140,36,0,52,14.263175917149116,58,62,0,0.6,58
141,23,0,66,-15.525319368659922,29,34,0,0.6,29
142,24,0,75,1.8301175178512166,51,57,0,0.6,51
143,25,1,68,3.895400155018084,55,61,0,0.6,55
144,62,0,92,3.7565362512346,81,88,0,0.6,81
145,35,0,33,-8.484821369180636,26,27,1,0.4,27
146,56,0,69,2.347217904013695,65,70,0,0.6,65
147,29,1,33,5.373222822382094,41,43,1,0.4,43
148,33,0,53,-15.312576262692952,28,31,0,0.6,28
149,22,0,46,-7.316058410205331,27,30,0,0.6,27
150,40,1,67,15.761772769324647,74,79,0,0.6,74
151,24,1,71,-4.190121951290072,48,54,0,0.6,48
152,27,0,31,0.7169410748829468,30,31,1,0.4,31
153,40,1,35,-12.790468505549,30,32,1,0.4,32
154,50,1,27,-0.658707460820729,43,44,0,0.6,43
155,32,1,65,-10.350858011839453,43,48,0,0.6,43
156,46,1,54,2.635247980535565,58,62,1,0.4,62
157,31,1,36,-1.1054645895001989,37,39,0,0.6,37
158,39,0,53,-12.1442754733349,34,38,1,0.4,38
159,19,0,47,-13.809075701249792,19,22,1,0.4,22
160,23,1,60,-0.0939985330289882,46,51,0,0.6,46
161,34,0,51,4.871907326707085,47,51,1,0.4,51
162,62,1,26,-0.43451196349671917,49,50,1,0.4,50
163,34,0,33,-5.936851229928045,28,29,1,0.4,29
164,25,1,77,-0.7023819538123646,55,61,1,0.4,61
165,31,1,27,10.845595142571021,45,46,1,0.4,46
166,27,0,48,-6.16493891405722,31,35,0,0.6,31
167,37,1,59,-0.6519574547865101,52,57,1,0.4,57
168,54,0,56,10.04339183789751,65,69,0,0.6,65
169,65,0,39,4.760896727030881,57,59,0,0.6,57
170,51,1,60,12.654013229321402,73,78,0,0.6,73
171,54,1,66,-15.67005765105409,49,54,0,0.6,49
172,41,1,48,13.486232823245604,63,66,0,0.6,63
173,39,0,37,-0.5284102998062574,37,40,1,0.4,40
174,28,0,-3,5.203528067523674,18,16,1,0.4,16
175,65,1,60,7.644103928867815,75,80,1,0.4,80
176,34,0,50,13.792441080170367,56,59,1,0.4,59
177,31,1,47,-12.20867340420076,32,35,1,0.4,35
178,45,1,12,-5.89815523236101,28,27,0,0.6,28
179,41,0,31,-12.692596235540696,23,25,1,0.4,25
180,37,0,51,-16.838166350912513,27,31,0,0.6,27
181,56,1,28,9.76652911893251,57,58,0,0.6,57
182,48,0,39,-12.122978170962993,31,34,1,0.4,34
183,40,0,87,0.5831621015519722,64,71,1,0.4,71
184,56,0,39,0.16176074499377568,48,50,1,0.4,50
185,41,1,43,-0.13372110681783544,47,50,0,0.6,47
186,27,1,59,10.9088035701078,59,63,1,0.4,63
187,47,1,72,2.607292931646361,67,73,0,0.6,67
188,44,0,-4,-9.438217807216036,11,9,0,0.6,11
189,39,1,56,-20.000904015009056,32,37,0,0.6,32
190,45,1,12,16.48031721777322,50,50,0,0.6,50
191,44,1,81,-16.909835781493154,51,57,0,0.6,51
192,36,1,72,11.781952176077182,71,76,0,0.6,71
193,41,0,59,-1.5484542345230732,48,53,1,0.4,53
194,36,1,49,-7.530808439597193,40,43,0,0.6,40
195,51,0,59,3.58909867273649,59,63,0,0.6,59
196,28,0,18,7.78867432424607,31,31,1,0.4,31
197,53,1,56,-1.075171330889993,58,63,0,0.6,58
198,37,1,64,8.257899313844444,64,69,1,0.4,69
199,56,1,91,1.8073442317869237,80,88,1,0.4,88
200,36,1,62,4.807456056601703,59,64,0,0.6,59
201,35,0,37,-4.761295473287841,31,33,0,0.6,31
202,64,0,44,16.922226008652,71,74,0,0.6,71
